$BUILT 2014-04-18 16:37:09
$AUTHOR Amanda
$GERMAN 
$ENGLISH A Tribute to Symmetry (oldskills)
Skills were less creative in this version.

#SIZE_X 2016
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 96
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 16
#BACKGROUND_BLUE 4

#SECONDS 20
#INITIAL 140
#REQUIRED 11
#SPAWN_INTERVAL 12
#SPAWN_INTERVAL_FAST 4

#EXPLODER2 -1
#JUMPER 50
#BATTER 30
#PLATFORMER 20
#BLOCKER 110
#BUILDER 200
#MINER 110
#WALKER 1
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:amanda/occult/hatch_tentacle.H: 622 -29
:amanda/occult/hatch_tentacle.H: 1555 57
:amanda/occult/hatch_tentacle.H: 799 96
:matt/beach/decor/umbrella_red: 1196 257
:matt/beach/decor/umbrella_green: 1163 322 frr
:amanda/steel/steel32x32.S: 1875 192
:amanda/steel/steel32x32.S: 1892 184
:amanda/steel/steel32x32.S: 1911 202
:amanda/steel/steel32x32.S: 1885 222
:amanda/steel/steel32x32.S: 1864 221
:amanda/steel/steel32x32.S: 1850 207
:amanda/steel/steel32x32.S: 1879 203
:matt/beach/decor/beach ball: 849 283
:matt/beach/decor/beach ball: 833 265
:matt/beach/decor/beach ball: 812 264
:matt/beach/decor/beach ball: 806 282
:matt/beach/decor/beach ball: 812 303
:matt/beach/decor/beach ball: 829 324
:matt/beach/decor/beach ball: 849 347
:matt/beach/decor/beach ball: 861 364
:matt/beach/decor/beach ball: 868 293
:matt/beach/decor/beach ball: 880 277
:matt/beach/decor/beach ball: 900 254
:matt/beach/decor/beach ball: 922 265
:matt/beach/decor/beach ball: 923 291
:matt/beach/decor/beach ball: 914 318
:matt/beach/decor/beach ball: 880 350
:matt/beach/decor/beach ball: 900 331
